192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/css/calendar.css, HTTP/1.1, 200, 0.000863
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.000855
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001290
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.000999
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.011739
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.002702
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.002163
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.009461
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/mode/javascript/javascript.js, HTTP/1.1, 200, 0.001146
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/mode/htmlmixed/htmlmixed.js, HTTP/1.1, 200, 0.001511
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.002982
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/hint/python-hint.js, HTTP/1.1, 200, 0.000789
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.js, HTTP/1.1, 200, 0.001356
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/hint/show-hint.css, HTTP/1.1, 200, 0.000883
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/search/searchcursor.js, HTTP/1.1, 200, 0.002164
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/search/search.js, HTTP/1.1, 200, 0.001385
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.js, HTTP/1.1, 200, 0.000896
192.168.42.213, 2019-01-27 15:52:27, GET, /admin/static/_2.17.2/codemirror/addon/edit/trailingspace.js, HTTP/1.1, 200, 0.001119
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.000998
192.168.42.213, 2019-01-27 15:52:28, GET, /admin/static/_2.17.2/codemirror/addon/dialog/dialog.css, HTTP/1.1, 200, 0.001071
